gender,ageGroup,year,count
V,0–4,2001,535
V,0–4,2002,455
V,0–4,2003,591
V,0–4,2004,698
V,0–4,2005,1351
V,0–4,2006,892
V,0–4,2007,863
V,0–4,2008,738
V,0–4,2009,1242
V,0–4,2010,1524
V,0–4,2011,1112
V,0–4,2012,1009
V,0–4,2013,948
V,0–4,2014,943
V,0–4,2015,
V,5–9,2001,573
V,5–9,2002,374
V,5–9,2003,509
V,5–9,2004,595
V,5–9,2005,886
V,5–9,2006,655
V,5–9,2007,639
V,5–9,2008,510
V,5–9,2009,670
V,5–9,2010,1398
V,5–9,2011,896
V,5–9,2012,869
V,5–9,2013,930
V,5–9,2014,947
V,5–9,2015,
V,10–14,2001,1077
V,10–14,2002,862
V,10–14,2003,890
V,10–14,2004,1245
V,10–14,2005,1706
V,10–14,2006,621
V,10–14,2007,625
V,10–14,2008,544
V,10–14,2009,632
V,10–14,2010,1390
V,10–14,2011,886
V,10–14,2012,783
V,10–14,2013,740
V,10–14,2014,671
V,10–14,2015,
V,15–19,2001,1793
V,15–19,2002,977
V,15–19,2003,2025
V,15–19,2004,2820
V,15–19,2005,5111
V,15–19,2006,1967
V,15–19,2007,1361
V,15–19,2008,939
V,15–19,2009,1181
V,15–19,2010,2307
V,15–19,2011,1766
V,15–19,2012,1330
V,15–19,2013,1149
V,15–19,2014,1155
V,15–19,2015,
V,20–24,2001,2334
V,20–24,2002,1223
V,20–24,2003,2227
V,20–24,2004,3269
V,20–24,2005,6032
V,20–24,2006,3862
V,20–24,2007,2741
V,20–24,2008,2214
V,20–24,2009,3673
V,20–24,2010,6867
V,20–24,2011,5644
V,20–24,2012,3962
V,20–24,2013,3621
V,20–24,2014,3186
V,20–24,2015,
V,25–29,2001,2060
V,25–29,2002,1269
V,25–29,2003,1812
V,25–29,2004,2258
V,25–29,2005,3683
V,25–29,2006,2716
V,25–29,2007,2394
V,25–29,2008,2247
V,25–29,2009,3838
V,25–29,2010,8661
V,25–29,2011,5816
V,25–29,2012,4111
V,25–29,2013,3545
V,25–29,2014,3232
V,25–29,2015,
V,30–34,2001,1673
V,30–34,2002,762
V,30–34,2003,1427
V,30–34,2004,1971
V,30–34,2005,2903
V,30–34,2006,1631
V,30–34,2007,1465
V,30–34,2008,1428
V,30–34,2009,2329
V,30–34,2010,6012
V,30–34,2011,3579
V,30–34,2012,2552
V,30–34,2013,2586
V,30–34,2014,2525
V,30–34,2015,
V,35–39,2001,1807
V,35–39,2002,781
V,35–39,2003,1215
V,35–39,2004,1779
V,35–39,2005,2878
V,35–39,2006,1527
V,35–39,2007,1333
V,35–39,2008,1278
V,35–39,2009,2370
V,35–39,2010,4141
V,35–39,2011,2490
V,35–39,2012,1902
V,35–39,2013,1863
V,35–39,2014,1922
V,35–39,2015,
V,40–44,2001,882
V,40–44,2002,576
V,40–44,2003,954
V,40–44,2004,1407
V,40–44,2005,2300
V,40–44,2006,1426
V,40–44,2007,1257
V,40–44,2008,1006
V,40–44,2009,2020
V,40–44,2010,2950
V,40–44,2011,1850
V,40–44,2012,1419
V,40–44,2013,1394
V,40–44,2014,1368
V,40–44,2015,
V,45–49,2001,634
V,45–49,2002,488
V,45–49,2003,617
V,45–49,2004,822
V,45–49,2005,1065
V,45–49,2006,821
V,45–49,2007,973
V,45–49,2008,913
V,45–49,2009,1551
V,45–49,2010,2256
V,45–49,2011,1309
V,45–49,2012,1118
V,45–49,2013,1075
V,45–49,2014,1098
V,45–49,2015,
V,50–54,2001,424
V,50–54,2002,374
V,50–54,2003,451
V,50–54,2004,535
V,50–54,2005,773
V,50–54,2006,609
V,50–54,2007,506
V,50–54,2008,516
V,50–54,2009,903
V,50–54,2010,1457
V,50–54,2011,909
V,50–54,2012,712
V,50–54,2013,745
V,50–54,2014,724
V,50–54,2015,
V,55–59,2001,210
V,55–59,2002,215
V,55–59,2003,233
V,55–59,2004,234
V,55–59,2005,241
V,55–59,2006,197
V,55–59,2007,335
V,55–59,2008,301
V,55–59,2009,444
V,55–59,2010,668
V,55–59,2011,404
V,55–59,2012,336
V,55–59,2013,399
V,55–59,2014,461
V,55–59,2015,
V,60–64,2001,191
V,60–64,2002,160
V,60–64,2003,144
V,60–64,2004,179
V,60–64,2005,183
V,60–64,2006,134
V,60–64,2007,160
V,60–64,2008,139
V,60–64,2009,173
V,60–64,2010,183
V,60–64,2011,130
V,60–64,2012,141
V,60–64,2013,140
V,60–64,2014,142
V,60–64,2015,
V,65–69,2001,98
V,65–69,2002,63
V,65–69,2003,107
V,65–69,2004,103
V,65–69,2005,89
V,65–69,2006,110
V,65–69,2007,64
V,65–69,2008,57
V,65–69,2009,79
V,65–69,2010,51
V,65–69,2011,39
V,65–69,2012,57
V,65–69,2013,71
V,65–69,2014,62
V,65–69,2015,
V,70–74,2001,88
V,70–74,2002,55
V,70–74,2003,50
V,70–74,2004,56
V,70–74,2005,42
V,70–74,2006,37
V,70–74,2007,39
V,70–74,2008,31
V,70–74,2009,49
V,70–74,2010,39
V,70–74,2011,38
V,70–74,2012,39
V,70–74,2013,47
V,70–74,2014,23
V,70–74,2015,
V,75–79,2001,71
V,75–79,2002,27
V,75–79,2003,41
V,75–79,2004,28
V,75–79,2005,31
V,75–79,2006,32
V,75–79,2007,24
V,75–79,2008,18
V,75–79,2009,24
V,75–79,2010,25
V,75–79,2011,23
V,75–79,2012,25
V,75–79,2013,30
V,75–79,2014,23
V,75–79,2015,
V,80+,2001,9
V,80+,2002,27
V,80+,2003,22
V,80+,2004,22
V,80+,2005,27
V,80+,2006,16
V,80+,2007,38
V,80+,2008,13
V,80+,2009,23
V,80+,2010,34
V,80+,2011,30
V,80+,2012,30
V,80+,2013,44
V,80+,2014,33
V,80+,2015,
M,0–4,2001,474
M,0–4,2002,301
M,0–4,2003,506
M,0–4,2004,753
M,0–4,2005,1317
M,0–4,2006,796
M,0–4,2007,921
M,0–4,2008,791
M,0–4,2009,1007
M,0–4,2010,1516
M,0–4,2011,1025
M,0–4,2012,960
M,0–4,2013,964
M,0–4,2014,882
M,0–4,2015,
M,5–9,2001,475
M,5–9,2002,371
M,5–9,2003,492
M,5–9,2004,673
M,5–9,2005,986
M,5–9,2006,514
M,5–9,2007,637
M,5–9,2008,464
M,5–9,2009,620
M,5–9,2010,1359
M,5–9,2011,876
M,5–9,2012,803
M,5–9,2013,819
M,5–9,2014,861
M,5–9,2015,
M,10–14,2001,967
M,10–14,2002,647
M,10–14,2003,963
M,10–14,2004,1093
M,10–14,2005,1691
M,10–14,2006,622
M,10–14,2007,530
M,10–14,2008,476
M,10–14,2009,486
M,10–14,2010,1296
M,10–14,2011,856
M,10–14,2012,755
M,10–14,2013,659
M,10–14,2014,655
M,10–14,2015,
M,15–19,2001,1326
M,15–19,2002,904
M,15–19,2003,1749
M,15–19,2004,2721
M,15–19,2005,4142
M,15–19,2006,2000
M,15–19,2007,1624
M,15–19,2008,872
M,15–19,2009,1133
M,15–19,2010,2602
M,15–19,2011,2057
M,15–19,2012,1570
M,15–19,2013,1353
M,15–19,2014,1196
M,15–19,2015,
M,20–24,2001,2088
M,20–24,2002,1027
M,20–24,2003,1909
M,20–24,2004,3670
M,20–24,2005,6127
M,20–24,2006,2857
M,20–24,2007,2867
M,20–24,2008,2264
M,20–24,2009,3257
M,20–24,2010,8264
M,20–24,2011,6080
M,20–24,2012,4473
M,20–24,2013,4063
M,20–24,2014,3556
M,20–24,2015,
M,25–29,2001,1693
M,25–29,2002,700
M,25–29,2003,1387
M,25–29,2004,2474
M,25–29,2005,3600
M,25–29,2006,2021
M,25–29,2007,2284
M,25–29,2008,2497
M,25–29,2009,3410
M,25–29,2010,9859
M,25–29,2011,5494
M,25–29,2012,4122
M,25–29,2013,3600
M,25–29,2014,3330
M,25–29,2015,
M,30–34,2001,1618
M,30–34,2002,794
M,30–34,2003,1136
M,30–34,2004,1813
M,30–34,2005,2577
M,30–34,2006,1101
M,30–34,2007,1413
M,30–34,2008,1562
M,30–34,2009,2138
M,30–34,2010,5952
M,30–34,2011,3251
M,30–34,2012,2515
M,30–34,2013,2550
M,30–34,2014,2349
M,30–34,2015,
M,35–39,2001,1493
M,35–39,2002,850
M,35–39,2003,1250
M,35–39,2004,1856
M,35–39,2005,2230
M,35–39,2006,1336
M,35–39,2007,1327
M,35–39,2008,1141
M,35–39,2009,1588
M,35–39,2010,3712
M,35–39,2011,2158
M,35–39,2012,1699
M,35–39,2013,1558
M,35–39,2014,1575
M,35–39,2015,
M,40–44,2001,790
M,40–44,2002,541
M,40–44,2003,1070
M,40–44,2004,1422
M,40–44,2005,1892
M,40–44,2006,1343
M,40–44,2007,1324
M,40–44,2008,777
M,40–44,2009,1013
M,40–44,2010,2765
M,40–44,2011,1666
M,40–44,2012,1248
M,40–44,2013,1214
M,40–44,2014,1111
M,40–44,2015,
M,45–49,2001,516
M,45–49,2002,491
M,45–49,2003,765
M,45–49,2004,1137
M,45–49,2005,1361
M,45–49,2006,875
M,45–49,2007,949
M,45–49,2008,758
M,45–49,2009,1015
M,45–49,2010,2559
M,45–49,2011,1403
M,45–49,2012,963
M,45–49,2013,913
M,45–49,2014,861
M,45–49,2015,
M,50–54,2001,499
M,50–54,2002,363
M,50–54,2003,610
M,50–54,2004,824
M,50–54,2005,1031
M,50–54,2006,649
M,50–54,2007,562
M,50–54,2008,413
M,50–54,2009,545
M,50–54,2010,1931
M,50–54,2011,1090
M,50–54,2012,753
M,50–54,2013,761
M,50–54,2014,708
M,50–54,2015,
M,55–59,2001,406
M,55–59,2002,242
M,55–59,2003,312
M,55–59,2004,362
M,55–59,2005,460
M,55–59,2006,334
M,55–59,2007,443
M,55–59,2008,312
M,55–59,2009,473
M,55–59,2010,942
M,55–59,2011,556
M,55–59,2012,375
M,55–59,2013,406
M,55–59,2014,508
M,55–59,2015,
M,60–64,2001,372
M,60–64,2002,290
M,60–64,2003,337
M,60–64,2004,374
M,60–64,2005,497
M,60–64,2006,271
M,60–64,2007,229
M,60–64,2008,176
M,60–64,2009,216
M,60–64,2010,148
M,60–64,2011,144
M,60–64,2012,132
M,60–64,2013,149
M,60–64,2014,165
M,60–64,2015,
M,65–69,2001,319
M,65–69,2002,187
M,65–69,2003,170
M,65–69,2004,188
M,65–69,2005,288
M,65–69,2006,184
M,65–69,2007,191
M,65–69,2008,110
M,65–69,2009,121
M,65–69,2010,89
M,65–69,2011,81
M,65–69,2012,83
M,65–69,2013,133
M,65–69,2014,94
M,65–69,2015,
M,70–74,2001,174
M,70–74,2002,158
M,70–74,2003,135
M,70–74,2004,115
M,70–74,2005,163
M,70–74,2006,77
M,70–74,2007,109
M,70–74,2008,98
M,70–74,2009,115
M,70–74,2010,65
M,70–74,2011,61
M,70–74,2012,69
M,70–74,2013,98
M,70–74,2014,60
M,70–74,2015,
M,75–79,2001,115
M,75–79,2002,91
M,75–79,2003,115
M,75–79,2004,116
M,75–79,2005,130
M,75–79,2006,82
M,75–79,2007,65
M,75–79,2008,45
M,75–79,2009,65
M,75–79,2010,47
M,75–79,2011,47
M,75–79,2012,66
M,75–79,2013,81
M,75–79,2014,68
M,75–79,2015,
M,80+,2001,57
M,80+,2002,74
M,80+,2003,62
M,80+,2004,79
M,80+,2005,92
M,80+,2006,75
M,80+,2007,91
M,80+,2008,102
M,80+,2009,97
M,80+,2010,88
M,80+,2011,97
M,80+,2012,119
M,80+,2013,170
M,80+,2014,127
M,80+,2015,
